experiment.id,a.primer,p1.primer,assay.type,evo.time.point,assay.time.point,replicate,medium,ploidy,n.mobyBCs.in.exp,n.mobyBCs.per.well,sample.set,pur.pool,proc.plate,barcode.1,barcode.2,barcode.3,barcode.4,barcode.5,barcode.6,barcode.7,barcode.8,barcode.9,barcode.10,barcode.11,barcode.12,barcode.13,barcode.14,barcode.15,barcode.16,barcode.17,barcode.18,barcode.19,barcode.20,barcode.21,barcode.22,barcode.23
24_S15_E,Ion_21,Ion_R7,evolution,T=24,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
25_S15_E,Ion_21,Ion_R8,evolution,T=25,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
0_S16_E,Ion_22,Ion_R2,evolution,T=0,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
10_S16_E,Ion_22,Ion_R3,evolution,T=10,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
15_S16_E,Ion_22,Ion_R4,evolution,T=15,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
20_S16_E,Ion_22,Ion_R5,evolution,T=20,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
22_S16_E,Ion_22,Ion_R6,evolution,T=22,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
24_S16_E,Ion_22,Ion_R7,evolution,T=24,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
25_S16_E,Ion_22,Ion_R8,evolution,T=25,,,CM+Salt,diploid,22,2,S16,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A7,d1H7,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,
0_S2_E,Ion_23,Ion_R2,evolution,T=0,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
10_S2_E,Ion_23,Ion_R3,evolution,T=10,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
15_S2_E,Ion_23,Ion_R4,evolution,T=15,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
20_S2_E,Ion_23,Ion_R5,evolution,T=20,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
22_S2_E,Ion_23,Ion_R6,evolution,T=22,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
24_S2_E,Ion_23,Ion_R7,evolution,T=24,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
25_S2_E,Ion_23,Ion_R8,evolution,T=25,,,CM,haploid,10,2,S2,r2,reprocess,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,,
